Date_________JDUT     R.A.___(ICRF)___DEC            delta      deldot
**********************************************************************
$$SOE
2458247.500000000      81.35851  23.43470 1.66857552447957  -0.0741415
2458248.500000000      82.41282  23.47798 1.66852959709326  -0.0849380
2458249.500000000      83.46780  23.51416 1.66847734823952  -0.0960399
2458250.500000000      84.52333  23.54324 1.66841858793651  -0.1074943
2458251.500000000      85.57932  23.56520 1.66835310001488  -0.1193394
2458252.500000000      86.63564  23.58004 1.66828065340689  -0.1315898
2458253.500000000      87.69219  23.58773 1.66820101828621  -0.1442246
2458254.500000000      88.74883  23.58828 1.66811398855319  -0.1571762
2458255.500000000      89.80545  23.58170 1.66801941638513  -0.1703202
2458256.500000000      90.86191  23.56797 1.66791723359490  -0.1835031
2458257.500000000      91.91810  23.54710 1.66780747067918  -0.1965336
2458258.500000000      92.97389  23.51911 1.66769026853002  -0.2092377
2458259.500000000      94.02915  23.48400 1.66756585877819  -0.2214649
2458260.500000000      95.08376  23.44180 1.66743455614589  -0.2330933
2458261.500000000      96.13760  23.39251 1.66729672672559  -0.2440550
2458262.500000000      97.19057  23.33616 1.66715276947169  -0.2543097
2458263.500000000      98.24255  23.27277 1.66700309548582  -0.2638519
2458264.500000000      99.29343  23.20237 1.66684811048969  -0.2727046
2458265.500000000     100.34313  23.12500 1.66668820268534  -0.2809071
2458266.500000000     101.39153  23.04069 1.66652373117912  -0.2885174
2458267.500000000     102.43856  22.94946 1.66635501880238  -0.2956038
2458268.500000000     103.48411  22.85138 1.66618234762550  -0.3022412
2458269.500000000     104.52811  22.74646 1.66600595512904  -0.3084998
2458270.500000000     105.57048  22.63477 1.66582603827074  -0.3144573
2458271.500000000     106.61109  22.51639 1.66563743696011  -0.3201853
2458272.500000000     107.64994  22.39128 1.66545089035714  -0.3257510
2458273.500000000     108.68693  22.25954 1.66526116158867  -0.3312143
2458274.500000000     109.72197  22.12122 1.66506829192573  -0.3366371
2458275.500000000     110.75500  21.97639 1.66487228687257  -0.3420820
2458276.500000000     111.78596  21.82509 1.66467311624523  -0.3476090
2458277.500000000     112.81478  21.66739 1.66447071262303  -0.3532891
2458278.500000000     113.84141  21.50336 1.66426496849361  -0.3591893
2458279.500000000     114.86577  21.33305 1.66405573354125  -0.3653869
2458280.500000000     115.88782  21.15654 1.66384281865500  -0.3719403
2458281.500000000     116.90750  20.97389 1.66362600680466  -0.3788838
2458282.500000000     117.92475  20.78518 1.66340507280818  -0.3862043
2458283.500000000     118.93952  20.59047 1.66317981567562  -0.3938404
2458284.500000000     119.95175  20.38985 1.66295008791144  -0.4016581
2458285.500000000     120.96139  20.18339 1.66271583586758  -0.4094755
2458286.500000000     121.96839  19.97116 1.66247711461019  -0.4170993
2458287.500000000     122.97269  19.75326 1.66223409262663  -0.4243390
2458288.500000000     123.97426  19.52976 1.66198703929935  -0.4310384
2458289.500000000     124.97306  19.30075 1.66173629732331  -0.4370963
2458290.500000000     125.96906  19.06631 1.66148225858895  -0.4424465
2458291.500000000     126.96224  18.82653 1.66122534275096  -0.4470597
2458292.500000000     127.95258  18.58149 1.66096597308754  -0.4509429
2458293.500000000     128.94007  18.33129 1.66070456874932  -0.4541100
2458294.500000000     129.92470  18.07600 1.66044153264970  -0.4565992
2458295.500000000     130.90648  17.81573 1.66017724533955  -0.4584507
2458296.500000000     131.88541  17.55055 1.65991206209782  -0.4597111
2458297.500000000     132.86149  17.28056 1.65964630599595  -0.4604434
2458298.500000000     133.83475  17.00585 1.65938026582694  -0.4607077
2458299.500000000     134.80519  16.72651 1.65911419423210  -0.4605601
2458300.500000000     135.77285  16.44263 1.65884831023686  -0.4600691
2458301.500000000     136.73770  16.15433 1.65858176140573  -0.4593000
2458302.500000000     137.69985  15.86165 1.65831675381855  -0.4583158
2458303.500000000     138.65929  15.56470 1.65805235878576  -0.4571910
2458304.500000000     139.61606  15.26358 1.65778863766843  -0.4559948
2458305.500000000     140.57019  14.95838 1.65752560976848  -0.4548041
2458306.500000000     141.52171  14.64919 1.65726324785916  -0.4537033
2458307.500000000     142.47068  14.33611 1.65700147405763  -0.4527837
2458308.500000000     143.41713  14.01923 1.65674015782882  -0.4521325
2458309.500000000     144.36109  13.69864 1.65647912011408  -0.4518308
2458310.500000000     145.30262  13.37443 1.65621814283966  -0.4519280
2458311.500000000     146.24175  13.04671 1.65595699258789  -0.4524246
2458312.500000000     147.17853  12.71557 1.65569545461610  -0.4532535
2458313.500000000     148.11298  12.38110 1.65543337280361  -0.4542812
2458314.500000000     149.04514  12.04341 1.65517068430863  -0.4553196
2458315.500000000     149.97507  11.70258 1.65490744160982  -0.4561671
2458316.500000000     150.90278  11.35873 1.65464381000645  -0.4566378
2458317.500000000     151.82834  11.01196 1.65438005191751  -0.4565845
2458318.500000000     152.75178  10.66235 1.65411650096350  -0.4559083
2458319.500000000     153.67317  10.31001 1.65385353486823  -0.4545529
2458320.500000000     154.59255   9.95504 1.65359155552835  -0.4524916
2458321.500000000     155.50998   9.59753 1.65333096854612  -0.4497308
2458322.500000000     156.42554   9.23759 1.65307217626733  -0.4462804
2458323.500000000     157.33928   8.87530 1.65281557066224  -0.4421632
2458324.500000000     158.25129   8.51077 1.65256152968981  -0.4374044
2458325.500000000     159.16162   8.14409 1.65231041230366  -0.4320469
2458326.500000000     160.07035   7.77535 1.65206255362153  -0.4261277
2458327.500000000     160.97757   7.40465 1.65181826474001  -0.4196941
2458328.500000000     161.88335   7.03209 1.65157782761285  -0.4127995
2458329.500000000     162.78776   6.65775 1.65134149290258  -0.4055012
2458330.500000000     163.69090   6.28173 1.65110947246902  -0.3978697
2458331.500000000     164.59284   5.90412 1.65088193977195  -0.3899739
2458332.500000000     165.49366   5.52476 1.65065904531287  -0.3818910
2458333.500000000     166.39347   5.14425 1.65044083325875  -0.3737064
2458334.500000000     167.29234   4.76244 1.65022735643423  -0.3655097
2458335.500000000     168.19035   4.37940 1.65001859339863  -0.3574005
2458336.500000000     169.08760   3.99523 1.64981446338932  -0.3494859
2458337.500000000     169.98417   3.61003 1.64961482415627  -0.3418660
2458338.500000000     170.88015   3.22388 1.64941947805791  -0.3346333
2458339.500000000     171.77560   2.83688 1.64922818383650  -0.3278407
2458340.500000000     172.67062   2.44912 1.64904068102455  -0.3214999
2458341.500000000     173.56528   2.06070 1.64885672488045  -0.3155436
2458342.500000000     174.45966   1.67171 1.64867612752850  -0.3098421
2458343.500000000     175.35381   1.28225 1.64849879198810  -0.3042178
2458344.500000000     176.24781   0.89243 1.64832472780050  -0.2984828
2458345.500000000     177.14174   0.50233 1.64815405246837  -0.2924566
2458346.500000000     178.03566   0.11207 1.64798697501506  -0.2860054
2458347.500000000     178.92965  -0.27827 1.64782376968504  -0.2790364
2458348.500000000     179.82378  -0.66859 1.64766475376941  -0.2714923
2458349.500000000     180.71813  -1.05878 1.64751026778710  -0.2633477
2458350.500000000     181.61278  -1.44874 1.64736066180348  -0.2545941
2458351.500000000     182.50781  -1.83840 1.64721628693049  -0.2452350
2458352.500000000     183.40331  -2.22763 1.64707749043313  -0.2352798
2458353.500000000     184.29935  -2.61636 1.64694461248749  -0.2247438
2458354.500000000     185.19602  -3.00448 1.64681798300887  -0.2136468
2458355.500000000     186.09341  -3.39190 1.64669791821886  -0.2020160
2458356.500000000     186.99160  -3.77852 1.64658471838969  -0.1898830
2458357.500000000     187.89067  -4.16425 1.64647866059245  -0.1772933
2458358.500000000     188.79072  -4.54899 1.64637999310962  -0.1643027
2458359.500000000     189.69184  -4.93266 1.64628892934986  -0.1509766
2458360.500000000     190.59410  -5.31515 1.64620563986437  -0.1373960
2458361.500000000     191.49760  -5.69637 1.64613024700955  -0.1236485
2458362.500000000     192.40242  -6.07623 1.64606281798816  -0.1098354
2458363.500000000     193.30867  -6.45438 1.64600075152441  -0.0960603
2458364.500000000     194.21640  -6.83124 1.64594921241962  -0.0824405
2458365.500000000     195.12571  -7.20646 1.64590546578110  -0.0690937
2458366.500000000     196.03667  -7.57994 1.64586932502696  -0.0561233
2458367.500000000     196.94938  -7.95159 1.64584054326552  -0.0436241
2458368.500000000     197.86390  -8.32130 1.64581883050853  -0.0316504
2458369.500000000     198.78029  -8.68899 1.64580387959705  -0.0202057
2458370.500000000     199.69864  -9.05454 1.64579539878429  -0.0092312
2458371.500000000     200.61898  -9.41787 1.64579314827779   0.0013928
2458372.500000000     201.54140  -9.77886 1.64579696898142   0.0118184
2458373.500000000     202.46593 -10.13742 1.64580679538200   0.0222163
2458374.500000000     203.39262 -10.49344 1.64582265688781   0.0327399
2458375.500000000     204.32154 -10.84681 1.64584466414280   0.0435156
2458376.500000000     205.25274 -11.19743 1.64587299031259   0.0546326
2458377.500000000     206.18626 -11.54520 1.64590784875389   0.0661457
2458378.500000000     207.12215 -11.89001 1.64594948332149   0.0780978
2458379.500000000     208.06047 -12.23176 1.64599815230338   0.0905069
2458380.500000000     209.00127 -12.57034 1.64605412235068   0.1033799
2458381.500000000     209.94459 -12.90567 1.64611766333596   0.1167236
2458382.500000000     210.89049 -13.23762 1.64618904789595   0.1305394
2458383.500000000     211.83901 -13.56611 1.64626854849293   0.1448268
2458384.500000000     212.79020 -13.89103 1.64635643489725   0.1595750
2458385.500000000     213.74410 -14.21227 1.64645296902114   0.1747674
2458386.500000000     214.70076 -14.52975 1.64655839814791   0.1903692
2458387.500000000     215.66022 -14.84336 1.64667294566284   0.2063318
2458388.500000000     216.62253 -15.15300 1.64679680077347   0.2225857
2458389.500000000     217.58771 -15.45858 1.64693010730581   0.2390432
2458390.500000000     218.55581 -15.75999 1.64707295288264   0.2555983
2458391.500000000     219.52687 -16.05715 1.64722536055836   0.2721333
2458392.500000000     220.50092 -16.34995 1.64738728234799   0.2885216
2458393.500000000     221.47801 -16.63819 1.64755422487614   0.3046357
2458394.500000000     222.45812 -16.92200 1.64773473716883   0.3203525
2458395.500000000     223.44130 -17.20116 1.64792418615783   0.3355651
2458396.500000000     224.42755 -17.47558 1.64812225645938   0.3501957
2458397.500000000     225.41688 -17.74517 1.64832859529518   0.3641925
2458398.500000000     226.40930 -18.00983 1.64854283640787   0.3775636
2458399.500000000     227.40480 -18.26947 1.64876463198592   0.3903664
2458400.500000000     228.40336 -18.52398 1.64899367941548   0.4026925
2458401.500000000     229.40498 -18.77327 1.64922974127746   0.4146770
2458402.500000000     230.40961 -19.01725 1.64947265850628   0.4264554
2458403.500000000     231.41725 -19.25582 1.64972235237458   0.4381659
2458404.500000000     232.42784 -19.48888 1.64997881589264   0.4499108
2458405.500000000     233.44137 -19.71634 1.65024209573054   0.4617815
2458406.500000000     234.45779 -19.93811 1.65051228409957   0.4738422
2458407.500000000     235.47707 -20.15410 1.65078950569004   0.4861426
2458408.500000000     236.49915 -20.36423 1.65107390658634   0.4987059
2458409.500000000     237.52400 -20.56841 1.65136564856736   0.5115654
2458410.500000000     238.55156 -20.76655 1.65166490679714   0.5247376
2458411.500000000     239.58179 -20.95857 1.65197187134830   0.5382558
2458412.500000000     240.61463 -21.14439 1.65228674628774   0.5521283
2458413.500000000     241.65003 -21.32395 1.65260973894559   0.5663676
2458414.500000000     242.68791 -21.49715 1.65294106330680   0.5809783
2458415.500000000     243.72823 -21.66393 1.65328093066621   0.5959454
2458416.500000000     244.77092 -21.82423 1.65362953595921   0.6112257
2458417.500000000     245.81592 -21.97796 1.65398704114013   0.6267495
2458418.500000000     246.86316 -22.12507 1.65435355892572   0.6424149
2458419.500000000     247.91257 -22.26550 1.65472913674489   0.6580998
2458420.500000000     248.96407 -22.39919 1.65511374491654   0.6736593
2458421.500000000     250.01761 -22.52608 1.65550727024668   0.6889617
2458422.500000000     251.07308 -22.64612 1.65590952218645   0.7038326
2458423.500000000     252.13043 -22.75925 1.65632020760626   0.7181663
2458424.500000000     253.18982 -22.86506 1.65674660811064   0.7318142
2458425.500000000     254.25061 -22.96424 1.65717308566646   0.7448417
2458426.500000000     255.31298 -23.05637 1.65760687978651   0.7571481
2458427.500000000     256.37683 -23.14142 1.65804757522560   0.7687442
2458428.500000000     257.44204 -23.21934 1.65849477450126   0.7796806
2458429.500000000     258.50850 -23.29010 1.65894811866459   0.7900377
2458430.500000000     259.57608 -23.35366 1.65940730158699   0.7999170
2458431.500000000     260.64466 -23.40999 1.65987208348275   0.8094438
2458432.500000000     261.71412 -23.45907 1.66034228598030   0.8186981
2458433.500000000     262.78432 -23.50086 1.66081777961779   0.8277854
2458434.500000000     263.85514 -23.53535 1.66129849367744   0.8367852
2458435.500000000     264.92645 -23.56252 1.66178440666874   0.8457943
2458436.500000000     265.99812 -23.58236 1.66227552574692   0.8548354
2458437.500000000     267.07003 -23.59485 1.66277189499048   0.8639745
2458438.500000000     268.14203 -23.60000 1.66327357839984   0.8732438
2458439.500000000     269.21401 -23.59780 1.66378066111213   0.8826747
2458440.500000000     270.28584 -23.58824 1.66429325062297   0.8923208
2458441.500000000     271.35739 -23.57134 1.66481148227812   0.9022181
2458442.500000000     272.42854 -23.54710 1.66533551316667   0.9124087
2458443.500000000     273.49917 -23.51554 1.66586552046128   0.9229162
2458444.500000000     274.56916 -23.47667 1.66640169007331   0.9337470
2458445.500000000     275.63840 -23.43051 1.66694420450968   0.9448785
2458446.500000000     276.70677 -23.37708 1.66749321785970   0.9562364
2458447.500000000     277.77418 -23.31641 1.66804883109631   0.9677094
2458448.500000000     278.84052 -23.24852 1.66861106867428   0.9791478
2458449.500000000     279.90568 -23.17346 1.66917986246336   0.9903830
2458450.500000000     280.96959 -23.09125 1.66975504602630   1.0012476
2458451.500000000     282.03212 -23.00193 1.67033636149271   1.0115936
2458452.500000000     283.09320 -22.90554 1.67092347418607   1.0213055
2458453.500000000     284.15273 -22.80213 1.67151599194471   1.0302997
2458454.500000000     285.21054 -22.69203 1.67210374417740   1.0385323
2458455.500000000     286.26668 -22.57470 1.67270577031611   1.0459941
2458456.500000000     287.32099 -22.45049 1.67331188752564   1.0527039
2458457.500000000     288.37335 -22.31946 1.67392167288307   1.0587052
2458458.500000000     289.42369 -22.18167 1.67453473460155   1.0640613
2458459.500000000     290.47191 -22.03717 1.67515072268440   1.0688528
2458460.500000000     291.51792 -21.88603 1.67576933549087   1.0731646
2458461.500000000     292.56163 -21.72831 1.67639032178333   1.0770860
2458462.500000000     293.60297 -21.56409 1.67701348065899   1.0807008
2458463.500000000     294.64184 -21.39342 1.67763865615861   1.0840831
2458464.500000000     295.67818 -21.21639 1.67826573639478   1.0873058
2458465.500000000     296.71192 -21.03307 1.67889464652470   1.0904316
2458466.500000000     297.74299 -20.84354 1.67952534617677   1.0935095
2458467.500000000     298.77132 -20.64788 1.68015782433651   1.0966002
2458468.500000000     299.79687 -20.44616 1.68079210427922   1.0997577
2458469.500000000     300.81958 -20.23847 1.68142824191927   1.1030431
2458470.500000000     301.83941 -20.02489 1.68206632810381   1.1065173
2458471.500000000     302.85630 -19.80552 1.68270649208319   1.1102465
2458472.500000000     303.87024 -19.58044 1.68334889630339   1.1142820
2458473.500000000     304.88118 -19.34973 1.68399372783042   1.1186541
2458474.500000000     305.88912 -19.11349 1.68464118062914   1.1233530
2458475.500000000     306.89402 -18.87181 1.68529142925375   1.1283192
2458476.500000000     307.89590 -18.62478 1.68594459174700   1.1334236
2458477.500000000     308.89474 -18.37249 1.68660070335418   1.1384925
2458478.500000000     309.89055 -18.11503 1.68725969056790   1.1433487
2458479.500000000     310.88334 -17.85250 1.68792137156731   1.1478016
2458480.500000000     311.87311 -17.58498 1.68858547258042   1.1517020
2458481.500000000     312.85988 -17.31258 1.68925163866296   1.1549330
2458482.500000000     313.84366 -17.03538 1.68991946432513   1.1574461
2458483.500000000     314.82446 -16.75349 1.69058852218778   1.1591977
2458484.500000000     315.80229 -16.46700 1.69125837276531   1.1601914
2458485.500000000     316.77706 -16.17598 1.69192606204374   1.1603930
2458486.500000000     317.74901 -15.88059 1.69259618287996   1.1599450
2458487.500000000     318.71804 -15.58088 1.69326585506799   1.1588488
2458488.500000000     319.68417 -15.27697 1.69393472106841   1.1571640
2458489.500000000     320.64741 -14.96895 1.69460245973349   1.1549569
2458490.500000000     321.60781 -14.65693 1.69526878965021   1.1522976
2458491.500000000     322.56537 -14.34101 1.69593347014066   1.1492575
2458492.500000000     323.52013 -14.02128 1.69659630011410   1.1459010
2458493.500000000     324.47211 -13.69786 1.69725711796705   1.1423015
2458494.500000000     325.42136 -13.37083 1.69791580290290   1.1385261
2458495.500000000     326.36790 -13.04032 1.69857227206566   1.1346406
2458496.500000000     327.31178 -12.70642 1.69922648105630   1.1307103
2458497.500000000     328.25303 -12.36923 1.69987842435990   1.1268074
2458498.500000000     329.19171 -12.02885 1.70052813777019   1.1230014
2458499.500000000     330.12786 -11.68539 1.70117570151415   1.1193783
2458500.500000000     331.06152 -11.33896 1.70182124555409   1.1160207
2458501.500000000     331.99276 -10.98965 1.70246494522601   1.1130040
2458502.500000000     332.92163 -10.63756 1.70310701440836   1.1103796
2458503.500000000     333.84820 -10.28280 1.70374768390350   1.1081543
2458504.500000000     334.77254  -9.92547 1.70438717291847   1.1062776
2458505.500000000     335.69471  -9.56566 1.70502564955164   1.1046222
2458506.500000000     336.61481  -9.20347 1.70566319212488   1.1030101
2458507.500000000     337.53289  -8.83900 1.70629976689531   1.1012376
2458508.500000000     338.44906  -8.47234 1.70693522514619   1.0991141
2458509.500000000     339.36339  -8.10359 1.70756931598472   1.0964795
2458510.500000000     340.27596  -7.73284 1.70820171127664   1.0932317
2458511.500000000     341.18684  -7.36019 1.70883204023939   1.0893162
2458512.500000000     342.09612  -6.98573 1.70945990741606   1.0847070
2458513.500000000     343.00388  -6.60955 1.71008491312755   1.0794100
2458514.500000000     343.91018  -6.23177 1.71070666518970   1.0734447
2458515.500000000     344.81510  -5.85246 1.71132478565808   1.0668406
2458516.500000000     345.71878  -5.47179 1.71193856819881   1.0596375
2458517.500000000     346.62118  -5.08975 1.71254837551184   1.0518763
2458518.500000000     347.52241  -4.70647 1.71315355079411   1.0436069
2458519.500000000     348.42256  -4.32207 1.71375381612592   1.0348840
2458520.500000000     349.32171  -3.93663 1.71434892705335   1.0257686
2458521.500000000     350.21992  -3.55027 1.71493867472345   1.0163233
2458522.500000000     351.11726  -3.16307 1.71552288582746   1.0066117
2458523.500000000     352.01382  -2.77514 1.71610143035152   0.9967103
2458524.500000000     352.90967  -2.38657 1.71667421772687   0.9866884
2458525.500000000     353.80487  -1.99746 1.71724120024961   0.9766229
2458526.500000000     354.69951  -1.60792 1.71780237614299   0.9665959
2458527.500000000     355.59366  -1.21803 1.71835779340161   0.9566979
2458528.500000000     356.48740  -0.82790 1.71890755420375   0.9470254
2458529.500000000     357.38080  -0.43763 1.71945181635323   0.9376740
2458530.500000000     358.27395  -0.04731 1.71999079278728   0.9287355
2458531.500000000     359.16693   0.34297 1.72052474226062   0.9202747
2458532.500000000       0.05982   0.73309 1.72105394882780   0.9123120
2458533.500000000       0.95271   1.12298 1.72157868953878   0.9047947
2458534.500000000       1.84569   1.51254 1.72209919079248   0.8976065
2458535.500000000       2.73886   1.90168 1.72261559413033   0.8905732
2458536.500000000       3.63231   2.29030 1.72312793103773   0.8834911
2458537.500000000       4.52614   2.67832 1.72363611785901   0.8761736
2458538.500000000       5.42043   3.06565 1.72413997277987   0.8684694
2458539.500000000       6.31528   3.45220 1.72463923989837   0.8602744
2458540.500000000       7.21078   3.83787 1.72513361745150   0.8515336
2458541.500000000       8.10701   4.22259 1.72562278114621   0.8422160
2458542.500000000       9.00406   4.60624 1.72610639677780   0.8323231
2458543.500000000       9.90200   4.98874 1.72658413463124   0.8218654
2458544.500000000      10.80075   5.36977 1.72705076882701   0.8108643
2458545.500000000      11.70072   5.74970 1.72751580212033   0.7993391
2458546.500000000      12.60182   6.12819 1.72797403404346   0.7873186
2458547.500000000      13.50412   6.50516 1.72842518931917   0.7748407
2458548.500000000      14.40769   6.88050 1.72886901412846   0.7619425
2458549.500000000      15.31260   7.25412 1.72930527955582   0.7486741
2458550.500000000      16.21892   7.62592 1.72973378645656   0.7350861
2458551.500000000      17.12671   7.99580 1.73015437190031   0.7212553
2458552.500000000      18.03604   8.36367 1.73056691408144   0.7072472
2458553.500000000      18.94697   8.72943 1.73097133393225   0.6931450
2458554.500000000      19.85956   9.09298 1.73136760317116   0.6790390
2458555.500000000      20.77387   9.45421 1.73175574730844   0.6650265
2458556.500000000      21.68996   9.81303 1.73213585001070   0.6512120
2458557.500000000      22.60789  10.16935 1.73250805662930   0.6377019
2458558.500000000      23.52772  10.52306 1.73287257416736   0.6246045
2458559.500000000      24.44950  10.87406 1.73322966919493   0.6120132
2458560.500000000      25.37329  11.22226 1.73357965439252   0.5999927
2458561.500000000      26.29916  11.56755 1.73392286771372   0.5885620
2458562.500000000      27.22715  11.90985 1.73425963974368   0.5776753
2458563.500000000      28.15735  12.24906 1.73459025635843   0.5672240
2458564.500000000      29.08981  12.58509 1.73491492429102   0.5570471
2458565.500000000      30.02459  12.91785 1.73523374994851   0.5469624
2458566.500000000      30.96175  13.24723 1.73554673484942   0.5367959
2458567.500000000      31.90136  13.57316 1.73585378892181   0.5264052
2458568.500000000      32.84346  13.89555 1.73615475127829   0.5156877
2458569.500000000      33.78811  14.21429 1.73644941289881   0.5045799
2458570.500000000      34.73536  14.52929 1.73673753749879   0.4930478
2458571.500000000      35.68523  14.84047 1.73701887499034   0.4810766
2458572.500000000      36.63778  15.14773 1.73729317157792   0.4686673
2458573.500000000      37.59303  15.45097 1.73756017378280   0.4558200
2458574.500000000      38.55101  15.75010 1.73781963142263   0.4425438
2458575.500000000      39.51200  16.04489 1.73807663509009   0.4288496
2458576.500000000      40.47552  16.33552 1.73832027814025   0.4147576
2458577.500000000      41.44184  16.62176 1.73855567179915   0.4002877
2458578.500000000      42.41096  16.90351 1.73878260797205   0.3854799
2458579.500000000      43.38291  17.18069 1.73900090411358   0.3703794
2458580.500000000      44.35768  17.45318 1.73921041076081   0.3550558
2458581.500000000      45.33528  17.72091 1.73941102050554   0.3395869
2458582.500000000      46.31569  17.98377 1.73960267640095   0.3240679
2458583.500000000      47.29891  18.24168 1.73978538007638   0.3086061
2458584.500000000      48.28494  18.49454 1.73995919740660   0.2933165
2458585.500000000      49.27375  18.74226 1.74012426226282   0.2783186
2458586.500000000      50.26532  18.98475 1.74028077739273   0.2637302
2458587.500000000      51.25964  19.22192 1.74042901157932   0.2496608
2458588.500000000      52.25669  19.45369 1.74056929115153   0.2361974
2458589.500000000      53.25643  19.67996 1.74070198418526   0.2233965
2458590.500000000      54.25886  19.90067 1.74082747955542   0.2112680
2458591.500000000      55.26394  20.11571 1.74094615169148   0.1997598
2458592.500000000      56.27165  20.32502 1.74105833531779   0.1887793
2458593.500000000      57.28197  20.52852 1.74116429459559   0.1781817
2458594.500000000      58.29486  20.72614 1.74126420675849   0.1678133
2458595.500000000      59.31030  20.91780 1.74135816211566   0.1575297
2458596.500000000      60.32825  21.10344 1.74144616801129   0.1471961
2458597.500000000      61.34867  21.28297 1.74152816691763   0.1367136
2458598.500000000      62.37151  21.45634 1.74160405210285   0.1260187
2458599.500000000      63.39673  21.62347 1.74167368617068   0.1150595
2458600.500000000      64.42427  21.78431 1.74173690852217   0.1038122
2458601.500000000      65.45407  21.93878 1.74179354610288   0.0922564
2458602.500000000      66.48606  22.08683 1.74184341722099   0.0803797
2458603.500000000      67.52018  22.22839 1.74188633353145   0.0681720
2458604.500000000      68.55635  22.36341 1.74192210150648   0.0556263
2458605.500000000      69.59453  22.49179 1.74195148216950   0.0427462
2458606.500000000      70.63455  22.61355 1.74197236859801   0.0295237
2458607.500000000      71.67637  22.72861 1.74198552638439   0.0159890
2458608.500000000      72.71990  22.83691 1.74199078636682   0.0021843
2458609.500000000      73.76503  22.93840 1.74198800967553  -0.0118270
2458610.500000000      74.81167  23.03304 1.74197710120519  -0.0259571
2458611.500000000      75.85971  23.12079 1.74195802410965  -0.0400921
2458612.500000000      76.90904  23.20161 1.74193081333625  -0.0540998
2458613.500000000      77.95955  23.27546 1.74189558066565  -0.0678468
2458614.500000000      79.01112  23.34231 1.74185251702975  -0.0811969
2458615.500000000      80.06365  23.40212 1.74180188552105  -0.0940281
2458616.500000000      81.11701  23.45487 1.74174401906895  -0.1062348
2458617.500000000      82.17110  23.50054 1.74167930196550  -0.1177422
2458618.500000000      83.22580  23.53910 1.74160815028730  -0.1285154
2458619.500000000      84.28100  23.57054 1.74153098823283  -0.1385577
2458620.500000000      85.33660  23.59485 1.74144822592670  -0.1479193
2458621.500000000      86.39249  23.61202 1.74136023284330  -0.1566876
2458622.500000000      87.44857  23.62203 1.74126732056612  -0.1649747
2458623.500000000      88.50473  23.62489 1.74116972905091  -0.1729110
2458624.500000000      89.56087  23.62060 1.74106762540641  -0.1806190
2458625.500000000      90.61690  23.60916 1.74096110846496  -0.1882100
2458626.500000000      91.67270  23.59058 1.74085021847102  -0.1957752
2458627.500000000      92.72818  23.56485 1.74073494881081  -0.2033859
2458628.500000000      93.78323  23.53201 1.74061525671810  -0.2110967
2458629.500000000      94.83774  23.49206 1.74049107186173  -0.2189494
2458630.500000000      95.89161  23.44501 1.74036230221576  -0.2269781
2458631.500000000      96.94475  23.39089 1.74022883697559  -0.2352141
2458632.500000000      97.99703  23.32972 1.74009054786352  -0.2436865
2458633.500000000      99.04837  23.26153 1.73994729069905  -0.2524219
2458634.500000000     100.09865  23.18635 1.73979890513237  -0.2614479
2458635.500000000     101.14778  23.10420 1.73964521913493  -0.2707771
2458636.500000000     102.19567  23.01509 1.73948626327372  -0.2804059
2458637.500000000     103.24217  22.91912 1.73932146123797  -0.2903018
2458638.500000000     104.28721  22.81630 1.73915087920082  -0.3004060
2458639.500000000     105.33068  22.70668 1.73897442486816  -0.3106163
2458640.500000000     106.37248  22.59029 1.73879207399256  -0.3207998
2458641.500000000     107.41252  22.46718 1.73860388627026  -0.3308001
2458642.500000000     108.45068  22.33742 1.73841001304514  -0.3404620
2458643.500000000     109.48689  22.20105 1.73821069409935  -0.3496340
2458644.500000000     110.52106  22.05812 1.73800624980205  -0.3581914
2458645.500000000     111.55309  21.90870 1.73779706354073  -0.3660420
2458646.500000000     112.58292  21.75286 1.73758356109709  -0.3731313
2458647.500000000     113.61047  21.59065 1.73736618901267  -0.3794443
2458648.500000000     114.63569  21.42214 1.73714539236633  -0.3849927
2458649.500000000     115.65851  21.24739 1.73692159974851  -0.3898292
2458650.500000000     116.67888  21.06649 1.73669520200985  -0.3940274
2458651.500000000     117.69677  20.87950 1.73646654183371  -0.3976795
2458652.500000000     118.71211  20.68648 1.73623590594070  -0.4008857
2458653.500000000     119.72489  20.48753 1.73600352392801  -0.4037431
2458654.500000000     120.73507  20.28270 1.73576956750719  -0.4063514
2458655.500000000     121.74262  20.07209 1.73553415719004  -0.4087904
2458656.500000000     122.74750  19.85576 1.73529736956652  -0.4111316
2458657.500000000     123.74971  19.63379 1.73505924323005  -0.4134354
2458658.500000000     124.74922  19.40628 1.73481978430665  -0.4157544
2458659.500000000     125.74602  19.17329 1.73457896991087  -0.4181369
2458660.500000000     126.74008  18.93492 1.73433674951750  -0.4206311
2458661.500000000     127.73140  18.69124 1.73409304454599  -0.4232857
2458662.500000000     128.71996  18.44234 1.73384774821122  -0.4261498
2458663.500000000     129.70577  18.18831 1.73360072551497  -0.4292710
2458664.500000000     130.68882  17.92923 1.73335181642791  -0.4326870
2458665.500000000     131.66910  17.66519 1.73310084513321  -0.4364126
2458666.500000000     132.64660  17.39636 1.73284633074921  -0.4404394
2458667.500000000     133.62134  17.12267 1.73259072080315  -0.4447004
2458668.500000000     134.59330  16.84431 1.73233260880906  -0.4490830
2458669.500000000     135.56249  16.56135 1.73207196355337  -0.4534425
2458670.500000000     136.52891  16.27389 1.73180885119083  -0.4575951
